name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:14:866;
epsnr [255];38.52;
frames;
  count;446;
    I;2 (0.44%);
    P;207 (46.41%);
    B;237 (53.13%);
  size (byte) / encode ratio (avg);4892 / 158;
    I;37 364 / 20;
    P;8 326 / 93;
    B;1 618 / 480;
bit allocation;
  max;1 357 432;
  avg;1 128 448;
  min;1 009 432;
qp [0-256];
  qp min;10;
  qp avg;27.00;
  qp max;40;
distribution (bits);
    total;39 645 (100.00%);
    mb_skip;699 (1.77%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 399 (6.05%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;538 (1.36%);
    pred_mode;1 380 (3.48%);
    inter_prediction;9 339 (23.56%);
transform;
    coded_block_pattern;2 981 (7.52%);
    transform_size_8x8_flag;81 (0.20%);
    mb_qp_delta;2 202 (5.56%);
    transform;18 528 (46.74%);
    pcm_data;0 (0.00%);
