EncodeParam, Average,EncoderParametersAverage_Muse.csv
, , 
MP4FileSize,  1.43,  3.63
VideoPSNR,  40.24,  36.34
FrameNumAll,  51.35,  72.67
FrameNumI,  1.77,  5.11
FrameNumP,  94.44,  321.11
FrameNumB,  81.22,  0
FrameNumRatioI,  .44,  .72
FrameNumRatioP,  52.66,  98.41
FrameNumRatioB,  46.12,  0
FrameSizeAll,  1331830.44,  3609888.88
FrameSizeI,  99050.44,  202127.44
FrameSizeP,  1037762.55,  3407761.44
FrameSizeB,  195017.44,  0
FrameSizeRatioI,  7.58,  5.83
FrameSizeRatioP,  77.38,  94.16
FrameSizeRatioB,  15.02,  0
FrameCompressedRatio,  113.82,  34.70
FrameCompressedRatioI,  21.86,  9.33
FrameCompressedRatioP,  79.95,  36.33
FrameCompressedRatioB,  328.86,  0
FrameSizeAvg,  8020.45,  10936.77
FrameSizeAvgI,  53923.85,  39325.26
FrameSizeAvgP,  12309.49,  10483.62
FrameSizeAvgB,  2495.74,  0
FrameSizeMaxI,  57448.33,  60571.44
FrameSizeMaxP,  29010.22,  18900.44
FrameSizeMaxB,  9381.66,  0
FrameSizeMinI,  49995.44,  29993.11
FrameSizeMinP,  9381.66,  0
FrameSizeMinB,  116.33,  0
BitRateAvg,  985.34,  2051.40
BitRateAvgFPS30,  1881.22,  2563.76
BitRateIn1S,  6232.33,  2545.21
BitRateIn2S,  3454.51,  2261.90
BitRateIn3S,  2178.99,  2147.69
BitRateIn4S,  1655.83,  2120.91
BitRateIn5S,  1321.23,  2109.04
BitRateIn6S,  1106.06,  2093.01
FramePSNRAvg,  40.23,  36.33
FramePSNRI,  42.28,  38.66
FramePSNRP,  40.20,  36.29
FramePSNRB,  40.18,  0
FramePSNRMaxI,  42.95,  42.75
FramePSNRMaxP,  47.65,  39.24
FramePSNRMaxB,  47.02,  0
FramePSNRMinI,  41.58,  36.45
FramePSNRMinP,  34.25,  33.15
FramePSNRMinB,  35.10,  0
FrameQPAvg,  23.86,  26.71
FrameQPI,  20.85,  24.32
FrameQPP,  23.07,  26.75
FrameQPB,  24.78,  0
FrameQPMaxI,  21.66,  26.66
FrameQPMaxP,  26.88,  30.77
FrameQPMaxB,  30.00,  0
FrameQPMinI,  20.11,  19.88
FrameQPMinP,  20.66,  24.00
FrameQPMinB,  18.55,  0
